"#name"|"Korean Law Dic" 
"형의 경중 刑의 輕重"|"형의 경중은 사형→징역→금고→자격상실→자격정지→벌금→구류→과료→몰수의 순서에 의한다(형41). 단 무기금고와 유기징역은 금고를 중한 것으로 하고 유기금고의 장기가 유기징역의 장기를 초과하는 때에는 금고를 중한 것으로 한다(형50①). 동종의 형은 장기의 긴 것과 다액의 많은 것을 중한 것으로 하고 장기 또는 다액이 동일한 때에는 그 단기의 긴 것과 소액의 많은 것을 중한 것으로 한다(형50②). 위 규정에 의한 외에는 죄질과 범정에 의하여 경중을 정한다(형50③)."
"형의 시효 刑의 時效"|"형의 선고를 받아 확정된 후, 그 집행을 받지 않고 일정한 기간을 경과한 때에는 그 집행이 면제되는 제도이다(형78). 현행법상 형사시효에는 형의 시효와 공소시효의 두 가지가 있다. 전자는 일정 기간의 경과로 인하여 이미 확정된 형벌권 따라서 형벌의 집행권을 소멸하게 하는데 대하여, 후자는 일정한 일시의 경과로 인하여 미확정 형벌권, 즉 공소권을 소멸시키는 것이다(형소249). 형의 시효기간은 재판확정일로 부터 기산하되 (1)사형은 30년 (2)무기의 징역 또는 금고는 20년 (3)10년 이상의 징역 또는 금고는 15년 (4)3년 이상의 징역이나 금고 또는 10년 이상의 자격정지는 10년 (5)3년 미만의 징역이나 금고 또는 5년 이상의 자격정지는 5년 (6)5년 미만의 자격정지, 벌금, 몰수 또는 추징은 3년 (7)구류 또는 과료는 1년이 경과함으로써 완성한다(형78). 형의 시효는 집행유예의 경우와 같이 법률에 의하여 형의 집행을 유예하거나 혹은 수형자가 심신장애 등으로 인하여 형의 집행을 정지한 기간은 진행되지 않는다(형79). 형의 집행을 위하여 범인을 체포하게 되면 시효는 중단된다(형80)."
"형평법 衡平法 [영] equity"|"영국에서 국왕의 최고고문인 대법관은 보통법으로 구제받을 수 없는 자를 개별적으로 구제하는 재판을 했는데, 이 재판의 선례가 형평법의 시초가 되었다. 의회에서 제정하는 법은 판결보다 우선하는 것으로, 근대에 이르러 의회에서 제정하는 제정법도 많이 제정되었지만 보통법이 영국법의 근간을 이루고 있는 것이다. 보통법과 형평법은 미국을 위시하여 영국의 구식민지에도 계수되었는데, 이는 영미법의 일대법계를 이루었다."
"혼거제 混居制"|"수인의 수형자를 동일한 방에 수용하는 구금방식으로 행형제도의 발당사상 가장 오래되고 소박한 제도이다. 이는 독거제에 비하여 관리가 간편하고 국가의 재정부담이 덜하므로 경제적이며, 작업의 실시가 용이하고 수형자 상호간의 감시에 의해 자살 등 우발적 사고를 방지할 수 있다. 그러나 수형자를 적절히 처우할 수 없고(개별처우의 곤란), 시설의 안전도 유지하기 어려우며(수형자간의 모의에 의한 교도소폭동의 위험성), 감옥내에서 악폐 감염(전염병 포함)의 폐해가 크다."
"혼동 混同"|"서로 대립하고 있는 두 개의 법률적 지위나 권리·의무가 동일인에게 귀속하는 것을 말한다. 물권(민191), 채권(민507)을 통하여 권리소멸의 원인이 된다. 예를 들면 지상권자나 저당권자가 그 물건을 매수하고 소유권을 취득하였을 때 채무자가 채권자를 상속한 때와 같은 것이다. 그러나 혼동에 의한 권리의 소멸에는 예외가 있다. 첫째로 혼동에 의해서 소멸하는 물권 또는 채권이 제3자의 권리의 목적이 되고 있는 경우에는 그 권리 또는 채권은 소멸하지 않는다. 예를 들면 앞서와 같은 사례에 있어서 저당권 또는 채권이 타인의 질권의 목적이 되고 있는 경우와 같은 것이다. 둘째로 유가증권화하고 특정인과의 사이에 급부로서의 의의를 상실하고 있는 채권을 채무자가 취득한 경우이다(어11③, 수14③)."
"혼인 婚姻 [영]  marriage [독] Ehe"|"부부관계를 성립시키는 신분행위. 혼인은 호적법이 정한 바에 의하여 신고함으로써 성립한다. 결혼식을 하는 것은 혼인성립과 관계가 없다. 혼인신고를 제출하여도 위법한 경우에는 심사에 의하여 수리되지 않는다(민 813). 재산상의 계약은 당사자가 자유로 행하여질 수 있지만 혼인은 혼인적령·부모의 동의·동성동본인 혈족의 금혼 등 제한이 따를 뿐 아니라 상대방은 언제나 한 사람뿐이다. 위법한 혼인신고가 잘못 수리되면 그 위법의 내용에 따라서 무효가 되거나 취소할 수 있는 혼인이 되지만, 기성사실을 존중하는 취지에서 일정의 취소혼에 대하여는 취소청구권이 제한될 때가 있다(민819∼823)."
"혼합증여 混合贈與"|"당사자 일방의 급부가 반대급부와의 사이에서 일부에 관해서만 대가관계가 성립하고, 이것을 넘어선 부분은 무상으로 공여됨으로써 그 한도 내에서만 쌍방간에 증여의 합의가 있는 계약을 혼합증여라고 한다. 이러한 증여가 존재하기 위해서는 급부와 반대급부 사이의 대가적 '가치'의 불균형이 객관적으로 존재하여야 하며, 무상출연에 대한 쌍방의 '합의'가 반드시 필요하다. 혼합증여의 법적 성질에 관해서는 결합설(분리설)과 흡수설(일체설)로 나뉜다. 결합설은 혼합증여는 유상부분과 무상부분 등 2부분으로 나뉘여 있으므로 각 부분에 각각의 전형계약의 규정을 적용하여야 한다고 본다. 흡수설은 혼합증여는 두 개의 계약유형이 일체로서 융합된 하나의 혼합계약이므로 혼합계약의 경제적 목적과 당사자의 정당한 이익을 고려하여 하나의 계약유형에 관한 규정만을 적용한다고 본다."
"화물상환증 貨物相換證 [영]  carriage note, waybill [독] Ladeschein"|"운송인이 증권기재의 운송물을 수령하였다는 것을 확인하고, 목적지에서 이것을 증권 소지인에게 인도할 의무를 부담하는 유가증권. 송하인의 청구가 있는 때에는 운송인은 화물상환증을 작성·교부하여야 한다(상128①). 그 작성·교부가 계약의 성립요건은 아니다. 송하인은 운송물을 운송인에게 인도한 다음에 화물상환증의 교부를 청구할 수 있다(상818). 해상운송에 있어서의 선하증권을 육상운송에 응용한 것으로서, 송하인은 화물상환증에 의하여 운송중의 화물을 양도 또는 입질을 하여 금융을 얻을 수 있고, 또 수하인도 이 화물상환증을 제3자에게 양도하면 화물도착 전에 화물을 전매하는 것과 동일한 효과를 얻을 수 있다. 화물상환증은 요식증권이지만 어음과 같이 엄격한 요식증권은 아니고, 법정기재사항 중의 하나(예：운임)를 결하여도 운송물의 동일성이 인정되고, 운송인에 의한 수령과 목적지에 있어서의 인도의무를 인정할 수 있는 것이라면 증권은 유효하다. 반대로 법정기재사항 이외의 사항도 화물상환증의 본질에 반하지 않는 한 이것을 기재할 수 있고, 이것을 기재하였을 때에는 그 사항은 유효하다고 해석하여야 한다. 화물상환증을 지시식으로 발행한 경우는 물론이고, 단순히 기명식으로 발행한 때도 배서에 의하여 양도할 수 있다(운송물반환청구권이 이 증권에 의해 보증됨)."
"화의 和議 [독] Vergleich, Ausgleich"|"화의는 채무자의 파산적 청산을 예방하여 기업을 유지하고 재건하는 것을 목적으로 파산상태에 있는 채무자가 채무를 면하기 위한 방법으로 화의채권자들로부터 변제기간의 유예 또는 이자부분 탕감, 변제권을 가진 채권자들로부터의 담보권실행포기 또는 유예하는 방식으로 합의를 하는 것이다. 화의에는 아직 파산선고를 받지 않은 채무자에 대하여 파산선고를 면하기 위하여 행하여지는 화의법에 의한 화의와 파산절차 중에 파산종결을 위하여 하는 파산법에 의한 강제화의(화1)가 있다. 화의법상 화의는 채무자가 화의조건을 제시하고 채권자집회에서 일정한 법정요건의 찬성에 의하여 가결이 되어 법원의 화의인가결정 확정에 의해 화의채권자를 구속하는 점에서 강제화의와 본질은 같다고 볼 수 있다. 그러나 화의는 모든 정리채권자, 정리담보권자를 구속하고 법원이 엄격히 감독하는 회사정리와는 달리 화의채권자만을 구속하고 일반 우선권 있는 채권자, 별제권자(저당권자, 전세권자, 질권자, 유치권자 등)들은 화의의 구속을 받지 못하므로 다른 제도에 비해 약한 면이 있다."
"화의법 和議法"|"채무자에게 파산의 원인이 발생한 경우에 파산을 예방하기 위하여 법원의 관여하에 채권자와 채무자간의 집단적인 합의를 도출하도록 하는 절차로서 1962. 1. 20 법률 제997호로 제정되었다. 종래 파산법에 있어서 파산절차의 종결의 한 방법으로서 발달하여온 강제화의를 파산개시에 앞서서 파산절차 외에 있어서 파산을 예방하는 강제화의에 관한 여러사항을 규정하고 있다."
"화의절차 和議節次"|"채무자가 파산선고를 받아야 할 상태에 있는 경우에 채무자로 하여금 파산선고를 면하게 하는 동시에 채권자로서도 파산의 경우에 비하여 유리한 해결을 꾀하기 위한 제도이다. 화의는 채무자의 변제조건을 경정하는 내용의 화의의 제공과 채권자집회의 법정다수의 의결 및 법원의 인가로써 성립하는 절차를 말하며, 화의와 파산의 신청이 병존하는 경우에는 파산절차는 중지되고, 화의절차 개시 후에는 파산신청을 할 수 없다."
"화이트 칼라 범죄"|"Sutherland가 처음으로 사용한 말로 흰 와이셔츠의 칼라로 미끈하게 차린 상류사회의 인사 내지 고급사무원이 범하는 범죄를 가리키는 말로, no collar 또는 blue collar 범죄에 대비되는 개념이다. 처음에는 정치·경제적으로 명망이 높은 사회적 지위에 있는 사람들이 직업상 범하는 범죄로 트러스트금지법 위반, 특허·상표 및 저작권법 위반, 부당노동행위, 위법배당, 허위광고, 리베이트 등 경영인에 의한 범죄에 한정되어 있었으나, 현재는 의사나 변호사 등 전문직업을 가진 사람들이 그의 직무를 수행하는 과정에서 행하는 변태적인 행위, 기업체의 정책결정과 경영관리에 참여하는 기업체의 간부가 기업체의 이익을 위하여 범죄를 하는 경우, 공공기관에 근무하는 직원이 자신이 차지한 지위를 이용하여 그 직무수행과 관련하여 범죄행위를 하는 경우 등을 포함하는 의미로 확대되었다. 또한 최근에는 그 의미가 더욱 확대되어 Conklin은 기업범죄라는 이름으로 사회적 측면보다는 직업적 과정의 측면을 중시하여 기업조직의 하급지위자가 범하는 범죄도 White Collar범죄의 개념에 포함하여 규정하였다. 이 범죄의 요건으로는 주체로서 상류계층에 속하는 자와 대상으로서 직무와 관련된 것이어야 하고 상류층 사람이 그의 직무와 관계없이 행하는 살인·폭력 등의 일반형사범죄는 제외되며, 암흑가의 부유한 자가 사기행위를 하더라도 그가 사회적으로 명망이 높거나 상류계급에 속하는 것은 아니기 때문에 역시 제외된다. 화이트 칼라범죄는 신임을 배반함으로써 불신임을 조장하고 사회질서를 어지럽히며 사회도의를 저하시켜 결국에는 사회해체를 야기시킨다. 또한 이는 개인을 피해자로 하기 보다는 사회전체나 국가전체에 광범위한 피해를 야기시키고, 불법적인 기업행위의 대부분이 국가공무원과의 결탁하에 이루어져 정부를 부패시킨다는 의미에서 국가의 기반을 흔드는 큰 범죄라 아니할 수 없는 것이다."
